Year ending December,Postcode,Incidents Recorded
2010,3893,1.0
2010,3895,6.0
2010,3896,38.0
2010,3898,26.0
2010,3900,5.0
2010,3902,13.0
2010,3903,9.0
2010,3904,32.0
2010,3909,595.0
2010,3910,837.0
2010,3911,180.0
2010,3912,503.0
2010,3913,132.0
2010,3915,1007.0
2010,3916,34.0
2010,3918,75.0
2010,3919,124.0
2010,3920,15.0
2010,3921,5.0
2010,3922,526.0
2010,3923,9.0
2010,3925,152.0
2010,3926,92.0
2010,3927,37.0
2010,3928,8.0
2010,3929,53.0
2010,3930,404.0
2010,3931,1437.0
2010,3933,39.0
2010,3934,305.0
2010,3936,539.0
2010,3937,29.0
2010,3938,89.0
2010,3939,996.0
2010,3940,183.0
2010,3941,590.0
2010,3942,107.0
2010,3943,216.0
2010,3944,117.0
2010,3945,11.0
2010,3946,2.0
2010,3950,210.0
2010,3951,9.0
2010,3953,347.0
2010,3954,6.0
2010,3956,65.0
2010,3957,8.0
2010,3958,1.0
2010,3959,19.0
2010,3960,79.0
2010,3962,21.0
2010,3964,3.0
2010,3965,20.0
2010,3966,7.0
2010,3967,3.0
2010,3971,158.0
2010,3975,427.0
2010,3976,911.0
2010,3977,3501.0
2010,3978,74.0
2010,3979,5.0
2010,3980,122.0
2010,3981,150.0
2010,3984,206.0
2010,3987,20.0
2010,3988,19.0
2010,3990,1.0
2010,3991,10.0
2010,3992,17.0
2010,3995,693.0
2010,3996,264.0
2011,3000,7877.0
2011,3002,702.0
2011,3003,404.0
2011,3006,1782.0
